x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	y
58	management	married	고학력	no	2143	yes	no	unknown	5	may	1	-1	0	unknown	no
44	technician	single	중학력	no	29	yes	no	unknown	5	may	1	-1	0	unknown	no
33	entrepreneur	married	중학력	no	2	yes	yes	unknown	5	may	1	-1	0	unknown	no
47	blue-collar	married	unknown	no	1506	yes	no	unknown	5	may	1	-1	0	unknown	no
33	unknown	single	unknown	no	1	no	no	unknown	5	may	1	-1	0	unknown	no
35	management	married	고학력	no	231	yes	no	unknown	5	may	1	-1	0	unknown	no
28	management	single	고학력	no	447	yes	yes	unknown	5	may	1	-1	0	unknown	no
42	entrepreneur	divorced	고학력	yes	2	yes	no	unknown	5	may	1	-1	0	unknown	no
58	retired	married	저학력	no	121	yes	no	unknown	5	may	1	-1	0	unknown	no
43	technician	single	중학력	no	593	yes	no	unknown	5	may	1	-1	0	unknown	no
41	admin.	divorced	중학력	no	270	yes	no	unknown	5	may	1	-1	0	unknown	no
29	admin.	single	중학력	no	390	yes	no	unknown	5	may	1	-1	0	unknown	no
53	technician	married	중학력	no	6	yes	no	unknown	5	may	1	-1	0	unknown	no
58	technician	married	unknown	no	71	yes	no	unknown	5	may	1	-1	0	unknown	no
57	services	married	중학력	no	162	yes	no	unknown	5	may	1	-1	0	unknown	no
51	retired	married	저학력	no	229	yes	no	unknown	5	may	1	-1	0	unknown	no
45	admin.	single	unknown	no	13	yes	no	unknown	5	may	1	-1	0	unknown	no
57	blue-collar	married	저학력	no	52	yes	no	unknown	5	may	1	-1	0	unknown	no
33	services	married	중학력	no	0	yes	no	unknown	5	may	1	-1	0	unknown	no
28	blue-collar	married	중학력	no	723	yes	yes	unknown	5	may	1	-1	0	unknown	no
56	management	married	고학력	no	779	yes	no	unknown	5	may	1	-1	0	unknown	no
32	blue-collar	single	저학력	no	23	yes	yes	unknown	5	may	1	-1	0	unknown	no
25	services	married	중학력	no	50	yes	no	unknown	5	may	1	-1	0	unknown	no
40	retired	married	저학력	no	0	yes	yes	unknown	5	may	1	-1	0	unknown	no
