,x1,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x2_0,x2_1,x2_2,x2_3,x2_4,x2_5,x2_6,x2_7,x2_8,x2_9,x2_10,x2_11,x3_0,x3_1,x3_2,y
0,58,3,0,2143,1,0,0,5,5,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,44,2,0,29,1,0,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2,33,2,0,2,1,1,0,5,5,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,47,0,0,1506,1,0,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4,33,0,0,1,0,0,0,5,5,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,35,3,0,231,1,0,0,5,5,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6,28,3,0,447,1,1,0,5,5,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7,42,3,1,2,1,0,0,5,5,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8,58,1,0,121,1,0,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
9,43,2,0,593,1,0,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10,41,2,0,270,1,0,0,5,5,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,29,2,0,390,1,0,0,5,5,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,53,2,0,6,1,0,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
13,58,0,0,71,1,0,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
14,57,2,0,162,1,0,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
15,51,1,0,229,1,0,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
16,45,0,0,13,1,0,0,5,5,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,57,1,0,52,1,0,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
18,33,2,0,0,1,0,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
19,28,2,0,723,1,1,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20,56,3,0,779,1,0,0,5,5,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
21,32,1,0,23,1,1,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
22,25,2,0,50,1,0,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
23,40,1,0,0,1,1,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
24,39,3,0,255,1,0,0,5,5,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
25,52,2,0,113,1,1,0,5,5,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
26,36,2,0,265,1,1,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
27,57,2,0,839,0,1,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
28,49,3,0,378,1,0,0,5,5,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
29,60,2,0,39,1,1,0,5,5,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,59,2,0,0,1,0,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
31,51,3,0,10635,1,0,0,5,5,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32,57,2,0,63,1,0,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
33,36,2,0,506,1,0,0,5,5,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,37,2,0,0,1,0,0,5,5,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,44,2,0,2586,1,0,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
36,50,2,0,49,1,0,0,5,5,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37,60,0,0,104,1,0,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
38,54,2,0,529,1,0,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
39,58,0,0,96,1,0,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
40,44,2,0,0,1,0,0,5,5,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
